11-meterplet	straffesparksplet
afmatning	svækkelse;nedgang
afmelde	framelde
afmelding	framelding
afmilitarisere	demilitarisere
afmilitarisering	demilitarisering
afmægtig	magtesløs
afmægtighed	afmagt
afmærke	markere;mærke af
afmønstre	mønstre af
afmåle	måle af
afpasse	tilpasse;justere
afpersonalisere	depersonalisere
afpille	pille af
afprøve	teste;prøve af
afprøvning	testning
afpudsning	finpudsning
afrakket	hærget;medtaget
afreagere	få afløb
afregne	regne af
afrejsedato	afrejsedag
afrense	rense af
afrette	rette af
afrime	rime af
afrive	rive af
afrodisiakum	elskovsmiddel
afrofrisure	afrohår
afrohår	afrofrisure
afrunde	runde af
afrunde	runde;runde af
afrunding	runding
afruste	afmilitarisere
afrustning	afmilitarisering
afsats	trappeafsats
afsave	save af
afsides	isoleret
afsikre	sikre
afsikre	desarmere
afsind	afsindighed
afsindig	vanvittig;gal
afsindig	vanvittig
afsindig	voldsom
afsindig	vanvittig(t);utrolig(t)
afskalling	afskalning
afskalning	afskalling
afsked	fratræden
afskedige	opsige;fyre
afskedigelse	opsigelse;fyring
afskedsbesøg	afskedsvisit
afskedsfest	afskedsparty;farvelfest
afskedskys	farvelkys
afskedsord	gravtale;begravelsestale
afskedsparty	afskedsfest;farvelfest
afskedsvisit	afskedsbesøg
afskibe	udskibe
afskovning	skovrydning;skovfældning
afskrabe	skrabe af
afskrift	afskrivning
afskrive	opgive
afskrivning	afskrift
afskrækkelse	afskrækning
afskrækkelsesmiddel	afskrækningsmiddel
afskrækning	afskrækkelse
afskrælle	skrælle af
afskumme	skumme af
afsky	lede
afsky	ikke kunne fordrage
afskydningsrampe	affyringsrampe
afskyelig	modbydelig
afskygge	schattere
afskygning	schattering
afskære	udelukke
afskære	skære af
afskæringsblomst	snitblomst
afskærme	skærme (af)
afslag	nedslag
afslapning	afspænding;afslappelse
afslappe	afspænde;slappe af
afslappet	afspændt
afslutning	slutning
afslutte	slutte af (med);fuldende
afslutte	slutte af
afsløre	løfte sløret for
afsløre	påvise
afsløre	røbe
afsløre	blotlægge
afslå	afvise
afsminke	sminke af
afsnubbe	snubbe af
afsondre	udsondre
afsondrethed	isolation;afsondring
afsondring	isolation
afsoner	strafafsoner
afspejle	gengive
afspejling	spejlbillede
afspille	spille;spille af
afspise	spise af
afspritte	spritte af
afspænde	afslappe;spænde af
afspærre	spærre af;spærre
afspærring	spærring
afstamning	herkomst;byrd
afstand	distance;frastand
afstand	distance
afstemme	stemme af;tilpasse
afstemme	stemme af
afstemning	tilpasning
afstemningssted	valgsted
afstikke	udstikke
afstraffelse	afstrafning
afstrafning	afstraffelse
afstresse	stresse af
afstumpet	stump
afstænge	stænge af
afstødning	afstødelse
afstå	afgive
afståelse	afgivelse
afståelse	afståelsessum
afståelsessum	afståelse
afsvale	svale af
afsvide	svide
afsvække	svække
afsvækkelse	afsvækning
afsvækning	afsvækkelse
afsyre	syre af
afsætningsøkonomi	afsætning
afsætte	sætte af;øremærke
afsætte	sætte af
afsætte	detronisere;styrte
afsættelse	detronisering
afsættelse	øremærkning
aftage	tage af;mindskes
aftage	tage af
aftagen	aftagning
aftagning	aftagen
aftappe	tappe af
aftegne	tegne
aftegning	aftegn
aften	kvæld
aftendæmring	skumring;mørkning;aftenskumring
aftenfalk	rødfodfalk;Falco vesperinus
aftenpragtstjerne	Melandrium album
aftenskumring	skumring;mørkning;aftendæmring
aftensmad	middagsmad;middag
aftensmåltid	aftensmad
aftenstjerne	Hesperis
aftenstund	aftentime
aftensværmer	Sphingidae
aftentime	aftenstund
afterparty	efterfest
aftrappe	nedtrappe
aftrædelsesgodtgørelse	fratrædelsesgodtgørelse;aftrædelsessum
aftrædelsesordning	fratrædelsesordning
aftrædelsessted	det lille hus
aftrædelsessum	aftrædelsesgodtgørelse;fratrædelsesgodtgørelse
aftørre	tørre (af)
afvande	dræne
afvanding	dræning
afvandingsgrøft	afvandingskanal
afvandingskanal	afvandingsgrøft
afvaske	vaske af
afvej	vildvej
afveje	veje op;overveje
afveje	veje af
afveksling	variation;forandring
afventen	afventning
afventning	afventen
afvig	afvigelse
afvikle	afholde
afvikling	afholdelse
afvise	benægte
afviser	afvisersten
afvisersten	afviser
afvænne	vænne fra
afvænning	afvænningskur
afværgemanøvre	undvigemanøvre
agam	Agamidae
agape	næstekærlighed
agave	Agave
agende	alterbog
agent	spion
agent	handelsagent
agent	agent provocateur
agentfilm	spionfilm
agent provocateur	politiagent;agent
agentroman	spionroman
ager	agerjord
agerbrug	markbrug;agerdyrkning
agerbruger	agerdyrker
agerdyrker	agerbruger
agerdyrkning	agerbrug
agere	spille
ageren	opførsel
agerhøne	Perdix perdix
agerhønsejagt	hønsejagt
agerjord	agerland
agerjord	ager
agerkål	Brassica campestris
agermåne	almindelig agermåne;Agrimonia eupatoria
agern	glans;pikhoved
agerren	ren
agersnegl	Deroceras
agertidsel	Cirsium arvense
aggressiv	angrebslysten;krigerisk
aggressor	angriber
agil	bevægelig;adræt
agilitet	omstillingsparathed
agoni	dødskamp
agorafobi	pladsangst
agraf	sårklemme
agrarsamfund	landbrugssamfund
agronom	landbrugskandidat
agronomi	landbrugsvidenskab
agt	hensigt
agtbar	agtværdig
agte	velestimeret;anset
agtelse	respekt;anseelse
agter	agterud
agterlanterne	bundprop
agterparti	bagparti
agterspejl	spejl
agterstavn	agterskib
agterud	bagud
agterude	agter
agtpågivende	årvågen
agtpågivenhed	opmærksomhed
agtværdig	respektabel
agurketern	agurketerning
agurketerning	agurketern
ahistorisk	historieløs
A-hold	førstehold
ahorn	ahorntræ;valbirk;ær;Acer pseudoplatanus
ahorn	ahorntræ
aids-positiv	hiv-positiv
aids-test	hiv-test
aids-virus	hiv-virus
aigu	accent aigu
aioli	hvidløgsmayonnaise
airbag	sikkerhedspude
airconditioneret	luftkonditioneret
ajour	up to date
ajourføre	opdatere;føre ajour
ajourføring	opdatering
akacie	Acacia
akacietræ	akacie;Acacia
akademi	kunstakademi
akantus	Acanthus
a-kasse	arbejdsløshedskasse
akeleje	Aquilegia
akklamation	bifald;applaus
akklimatisering	akklimatisation
akkompagnement	musikledsagelse
akkreditere	kreditere
akkumulation	akkumulering
akkumulere	kumulere
akkumulering	akkumulation
akkusativ	genstandsfald
