11-meterplet	straffesparksplet
boghvede	Fagopyrum esculentum
boglade	boghandel
boglærd	studeret
bogomslag	omslag
bogorm	bogsluger
bogsluger	bogorm
bogstavere	stave
bogstavregning	algebra
bogstavrim	allitteration;stavrim
bogstavtro	ordret;bogstavelig
bogtitel	bog
bogtrykkeri	trykkeri
bogtrykkerkunst	bogtrykkunst
bohrium	unnilseptium
boks	postboks
boks	boksanlæg
boks	telefonboks
boks	straffesparksfelt
bokssæt	boks
bol	bolleri;knald
bold	boldspil
bold	point
boldgade	gebet
bole	hore;bedrive utugt
bolide	ildkugle
boliganvisning	anvisning
boligbebyggelse	boligbyggeri
boligform	boligtype
boligfradrag	boligjobfradrag
boligindskud	beboerindskud
boligjobfradrag	boligfradrag
boligkompleks	ejendomskompleks
boligkonsulent	indretningsarkitekt
boligløs	hjemløs;husvild
boligområde	boligkvarter;beboelsesområde
boligspekulant	ejendomsspekulant
boligstøtte	boligtilskud
boligtilskud	boligstøtte
boligtype	boligform
bolle	kneppe;knalde
bollefed	tromlefed;smældfed;flommefed
bolleri	bol
bolognese	bologneser;bologneserhund
bologneser	bolognese;bologneserhund
bolsjekoger	dropskoger
bolsjekogeri	dropskogeri
bolsjekogeri	bolsjekogning
bolsjevik	leninist
bolværk	værn
bom	blokering
bombarde	pommer
bombardement	bombardering
bombarderbille	Brachinus
bombardering	bombardement
bombastisk	imposant
bombastisk	svulstig;højttravende
bombe	bombardere
bombefly	bombemaskine
bombemaskine	bombefly
bomberegn	tæppebombardement
bombesikker	helt sikker
bombning	bombardement;bombeangreb
bomlærke	Emberiza calandra
bommert	brøler;fadæse
bomstille	musestille
bomuld	bomuldsplante;Gossypium
bomuldsbukser	bomuldsbuks
bomuldsplante	bomuld
bomærke	logo
bonde	knægt
bondeanger	moralske tømmermænd
bondegård	gård
bondejokke	bondeknold
bondeknold	bondejokke
bondemand	bonde
bondeoprør	bondeopstand
bonderose	pæon;Paeonia officinalis
bondestenalder	yngre stenalder
bongo	bongotromme
bongo	Boocercus eurycerus
bonobo	Pan paniscus
bonusbarn	stedbarn
bonusbror	stedbror;papbror
bonusfar	stedfar;papfar;plasticfar
bonusforældre	papforældre;stedforældre
bonusmor	stedmor;papmor;plasticmor
bonussøskende	stedsøskende;papsøskende
bonussøster	stedsøster;papsøster
bonvivant	livsnyder
booke	reservere
bookmaking	bookmakeri
boost	skub;løft;vitamintilskud
bootleg	piratoptagelse
bopæl	hjem
bopæl	adresse
bopælsforandring	adresseændring
bopælskommune	hjemkommune
boraks	natriumtetraborat
borde	entre
bordeaux	vinrød;bordeauxrød
bordeaux	vinrød;bordeauxfarvet;bordeauxrød
bordeaux	bordeauxvin
bordeauxfarvet	bordeaux;bordeauxrød;vinrød
bordeauxrød	bordeaux;vinrød
bordeauxvin	bordeaux
bordel	horehus;massageklinik
bordelaise	bordelaisesauce
bordelmutter	bordelværtinde
bordelværtinde	bordelmutter
borderline	emotionelt ustabil personlighedsforstyrrelse
bordtennis	pingpong
bordtennisbat	bat
boreal	nordlig
boreplatform	olieplatform;olieboreplatform
borgerlig	højreorienteret
borgerliste	lokalliste
borgerløn	basisindkomst
borgerpligt	samfundspligt
borgerservice	borgerservicecenter
borgerservicecenter	borgerservice
borgerskab	borgerstand
borgerstand	borgerskab
borgestue	folkestue
borgmesterstol	borgmesterpost
bornerthed	snæversynethed
bornholmerur	bornholmer
borsalino	borsalinohat
borst	Leontodon
borsving	svingbor
bort	væk
bortadoptere	adoptere bort;adoptere væk
bortauktionere	auktionere
borte	væk
borteliminere	eliminere
bortfalde	falde bort
bortgang	død
bortgemme	gemme bort;gemme;skjule
bortgifte	gifte bort
bortgive	give bort
bortgå	gå sin vej
bortlede	lede bort
bortlede	lede bort;aflede
bortlicitere	udlicitere
bortse	se bort fra
bortskaffe	skaffe bort;komme af med
borttage	fjerne
bortvejre	vejre bort
bortvise	vise bort
bortvælge	fravælge
borzoi	russisk mynde
bosat	bosiddende
boss	chef
boston	bostonvals
bostonvals	boston
bosætning	bosættelse
bosættelse	bosætning
botulisme	pølseforgiftning
bouclé	bouclétæppe
bougainvillea	Bougainvillea
bouillonterning	suppeterning
boule	petanque
boulevardpresse	sensationspresse
bouquet	næse
bourgogne	bourgognevin
boutique	shop
bowle	punchebolle
bowler	bowlerhat
bowlerhat	bowler
boyband	drengegruppe
boykotning	boykot
brailleskrift	braille;punktskrift
braindrain	hjerneflugt
brainstorm	brainstorming;hjernestorm
brainstorming	brainstorm;hjernestorm
brakiopod	Brachiopoda
braktud	braknæse
bralre	skvaldre;skræppe op
bramfri	frimodig
bramgås	Branta leucopsis
brand	ildebrand
brandaktuel	superaktuel
brandbeskatning	brandskatning
brandbeskatte	brandskatte
brandbyld	carbunculus
brandbæger	Senecio
branddygtig	superdygtig;skidedygtig;knalddygtig
brandert	rus;kæfert
brandfolk	brandmænd
brandgod	knippelgod;pissegod;hammergod
brandgul	knaldgul
brandkommission	beredskabskommission
brandmand	brændegople;Cyanea capillata
brandmur	firewall
brandmyndighed	brandtilsyn
brandrød	ildrød
brandskatning	brandbeskatning
brandskatte	brandbeskatte
brandslukker	brandmand
brandslukningsudstyr	brandudstyr
brandsprøjte	sprøjte
brandsvamp	Ustilaginales
brandtilsyn	brandmyndighed
brandudstyr	brandslukningsudstyr
brandvarm	glohed;skoldhed
brandvarm	hot;højaktuel
brandærgerlig	dødærgerlig
branke	svide
bras	ragelse;skidt
brasen	Abramis brama
brat	stejl
bratsch	viola
bratschnøgle	altnøgle
brav	gæv
brav	tapper
break	servegennembrud
breakdance	break
breakdown	sammenbrud;nedbrud
bredbaget	bredrøvet
bredde	polhøjde;latitude
breddegrad	breddekreds
breddekreds	breddegrad
bredformat	widescreen
bredlærred	widescreen
bredrøvet	bredbaget
breederreaktor	formeringsreaktor;breeder
bregne	Pteropsida
brems	bremsning
bremse	Oestridae
bremsning	brems
breviar	tidebog
brevindkast	brevsprække
brevkasse	postkasse
brevkasse	brevsprække
brevkursus	korrespondancekursus
brevpost	snailmail
brevsprække	brevkasse
brevveksle	korrespondere
brevveksling	korrespondance
brie	brieost
brieost	brie
brigantine	skonnertbrig
brik	puslespilsbrik
brikjuice	juicebrik
brillans	virtuositet
brillant	fremragende;strålende
brille	briller
briller	brille
brilleslange	Naja naja
brint	hydrogen
brintbombe	b-bombe
brinte	affarve
brintoverilte	hydrogenperoxid
brisant	højeksplosiv
brisling	skarpsild;Sprattus sprattus
brissel	thymus
brist	bristning
bristning	brist
bro	kommandobro
bro	brokvarter
bro	stol
broafgift	bropenge;brotakst
brobygning	brobyggeri
broccoli	aspargeskål;Brassica oleracea italica
brodden	brækket;revnet
brodererske	brodøse
broderparti	søsterparti
brodfrø	Xanthium
brodøse	brodererske
brok	brokkeri
brokfugl	Charadriidae
brokke	stump
brokke	fragment
brokkehoved	kværulant;brokker
brokker	kværulant;brokkehoved
brokvarter	bro
brolægning	stenbro;brostensbelægning
bromatologi	levnedsmiddelvidenskab
brombær	brombærbusk;Rubus fruticosus
bronkie	luftrørsgren
brontosaurus	Apatosaurus;tordenøgle
bronzemedalje	bronze
bropenge	broafgift;brotakst
brordatter	niece
brorsøn	nevø
brosme	Brosme brosme
brostensbelægning	stenbro;brolægning
brotakst	bropenge;broafgift
brud	knoglebrud;fraktur
brud	servegennembrud
brud	krænkelse
brud	Mustela nivalis
brudegave	bryllupsgave
brudelys	Butomus umbellatus
brudenat	bryllupsnat
brudesuite	bryllupssuite
brudgom	gom
brudstykke	fragment;brokke
brudstykkeagtig	usammenhængende;fragmentarisk
brudurt	Herniaria glabra
brug	anvendelse;benyttelse
brug	behov
brug	landbrug
brugbar	anvendelig;brugelig
brugbarhed	anvendelighed
brugde	Cetorhinus maximus
bruge	anvende;benytte
brugelig	brugbar
brugelig	almindelig;gængs
brugerflade	brugergrænseflade
brugergrænseflade	brugerflade;brugerinterface;grænseflade;interface
bruger-id	brugernavn;log-in
brugerinterface	brugergrænseflade
brugermanual	manual
brugernavn	log-in;bruger-id
brugerråd	socialt forbrugerråd
brug og smid væk-samfund	køb og smid væk-samfund
brugs	brugsforening
brugsanvisning	brugsvejledning
brugsforening	brugs
brugsgenstand	brugsting
brugsmulighed	anvendelsesmulighed
brugsting	brugsgenstand
brugsuddeler	uddeler
brugsvejledning	brugsanvisning
brugtbil	brugtvogn
brugtbilmarked	brugtvognsmarked
brugtbilsforhandler	brugtvognsforhandler
brugtvogn	brugtbil
brugtvognsforhandler	brugtbilsforhandler
brum	brummen
brummelyd	brummen
brun	solbrændt
brunalge	Phaeophyceae
brunch	mokost
brunelle	almindelig brunelle;Prunella vulgaris
brunjernsten	limonit
brunkartoffel	brunet/brun kartoffel
brunsort	sortbrun
brunst	parringslyst
brunst	liderlighed
brunstig	parrelysten
brunstig	liderlig
brunsttid	parringstid
brus	brusen
bruschetta	hvidløgsbrød
brusebad	styrtebad;brus
brusebad	brus
brushane	Philomachus pugnax
brushane	brushoved
brushoved	brushane
bruskbold	Scleroderma
bruskfisk	tværmund;Condrichthyes
bruskhat	Marasmius
bruskvæv	brusk
brutalisering	forråelse
bruttoavance	bruttofortjeneste
bruttofortjeneste	bruttoavance
bruttoindkomst	bruttoindtægt
bruttoindtægt	bruttoindkomst
bruttoregisterton	bruttoregistertonnage;bruttoton
bruttoregistertonnage	bruttoregisterton
bryde	udvinde
bryde	afbryde
bryde	forsynde sig mod
bryderi	genvordighed
brydning	refraktion
brydsom	besværlig
brygning	bryg
bryllupsarrangør	bryllupsplanlægger
bryllupsklæder	bryllupstøj
bryllupsnat	brudenat
bryllupsplanlægger	bryllupsarrangør
bryllupssuite	brudesuite
bryozo	Bryozoa;mosdyr
bryst	patte
bryst	brystkød
brystdråber	hostesaft
brystholder	bh
brystkasse	thorax
brystkirtel	mælkekirtel
brystkød	bryst
brystmælk	modermælk
brystmål	brystvidde
brystning	brystværn
brystparti	bryst
brystscreening	mammografiscreening
bryststykke	bryst
brystsyge	tuberkulose
brystvidde	brystmål
brystværn	brystning
bræ	gletsjer;jøkel
bræge	mæe
bræk	opkast
brækfornemmelse	opkastningsfornemmelse;kvalme
brækfornemmelse	kvalme
brække	knække
brække	knække;briste
brækmiddel	vomitiv
brækning	opkastning
brænde	brænde af
brænde	kremere
brænde	svide
brændeflækker	brændekløver
brændekløver	brændeflækker
brændende	presserende
brændenælde	nælde
brændevin	akvavit;snaps
brændevinsbrænderi	brænderi
brændpunkt	fokus
brændsel	atombrændsel
bræt	spillebræt
brætsejler	windsurfer
brød	kleppert
brødbille	Stegobium paniceum
brødebetynget	skamfuld;brødefuld
brødefuld	skamfuld;brødebetynget
brødfrugttræ	Artocarpus
brødkniv	franskbrødskniv
brødkrumme	krumme
brødkrumme	smule
brødkrummesti	brødkrumme
brødrister	toaster
brødtern	brødterning
brødterning	brødtern
brøleabe	Alouatta
brøler	bommert
brøndkarse	Nasturtium officinale
brøndsel	Bidens
brøstfældig	faldefærdig
bskøn	utugtig;slibrig
bud	avisbud
budbringer	sendebud
budgetklasse	økonomiklasse
budgetkonto	terminskonto
bue	krumning;kurve
bueformet	buet;rund;krum
buelampe	kulbuelampe
bueminut	minut
buesekund	sekund
buffer	stødpudeopløsning;stødpude
bufferzone	stødpudezone
buffoopera	opera buffa
bug	mave
bug	vom
bugmuskel	mavemuskel
bugmuskulatur	mavemuskulatur
bugne	svulme
bugserbåd	slæbebåd
bugspytkirtel	pankreas
bugsvamp	Gasteromycetes
bugtaler	ventrilokvist
buk	gedebuk
buk	råbuk
buk	vædder
buket	blomsterbuket;blomst
bukkeblad	Menyanthes trifoliata
bukkehorn	Trigonella foenum-graecum
bukketorn	Lycium barbarum
bukolisk	hyrdeagtig
buks	bukser
buksbom	Buxus sempervirens
buksedragt	buksesæt
bukser	buks;benklæder
bukserem	livrem
buksestrømper	strømpebukser
buksesæt	buksedragt
bulder	ballade;ståhej
buldermørk	bælgmørk
buldermørke	bælgmørke
buldre	brage
buldre	svire
buldrende	bragende
bulimi	tvangsspiseri
bulimiker	tvangsspiser
bulk	bulklast;tørlast
bulkcarrier	bulkskib;massegodsskib
bulklast	tørlast;bulk
bulkskib	bulkcarrier
bulldoze	tromle
bullet	punkttegn
bulmeurt	Hyoscyamus niger
bulne	bule ud
bumle	bumpe
bumle	svire;male byen rød
bump	bums
bump	vejbump
bumpe	bumle
bums	filipens
bund	kagebund
bund	jordbund
bund	hold
bund	bas
bunde	bero
bundesligagarn	bundesligahår;svenskerhår
bundesligahår	svenskerhår;bundesligagarn
bundfald	bundskrab
bundfattig	ludfattig;røvfattig
bundforkælet	møgforkælet;snotforkælet
bundfældelse	bundfældning
bundfældning	bundfældelse
bundkamp	bundopgør
bundkamp	nedrykningskamp
bundkort	motherboard
bundopgør	bundkamp
bundprop	agterlanterne;jumbohold
bundrådden	pilrådden
bungeejumping	elastikspring
bunke	dynge;hob
bunke	stak;stabel
bunke	masse
bunke	Deschampsia
bunkepul	gruppesex;gruppeknald
bunker	sandgrav
bunkevis	stakkevis
bur	mål
bureaukratisk	administrativ
burger	hamburger;bøfsandwich
burlesk	lavkomisk
burmeser	myanmarer
burmesisk	myanmarsk
burre	Arctium
burrebånd	velcrobånd
burrelukning	velcrolukning
bus	omnibus
bus	buslinje
business	forretning
buskads	krat
buskagtig	busket
busket	buskagtig
buslinje	busrute
buslinje	bus
busrute	buslinje
bussemand	bøhmand
busstation	busterminal
busstop	busstoppested
busstoppested	stoppested;busstop
buste	barm
busteholder	bh
busterminal	busstation
bustur	busrejse
butadien	buta-1,3-dien
butan	normalbutan
butanol	butylalkohol
butansyre	smørsyre
butik	forretning
butik	rodebutik
butikscenter	center;indkøbscenter
butiksdetektiv	butikskontrollant
butiksejer	butiksindehaver;forretningsindehaver
butiksekspedient	ekspedient;salgsassistent
butiksindehaver	butiksejer;forretningsindehaver
butikskontrollant	butiksdetektiv
butikskæde	forretningskæde
butikslokale	forretningslokale
butler	hushovmester
butterbean	smørbønne
butterfly	fly
butyl	normalbutyl
butylalkohol	butanol
buzzer	summer
bvadr	ad;føj
bycentrum	bymidte;bykerne
bydreng	stikirenddreng;lakaj
byfornyelsesselskab	saneringsselskab
byg	Hordeum vulgare
bygesky	cumulonimbus;cumulonimbussky
bygge	udvikle;opbygge
byggebranche	byggesektor
byggefirma	entreprenørfirma
byggeklods	element;bestanddel
byggekonge	byggematador
byggelegeplads	skrammellegeplads;bygger
byggematador	byggekonge
byggemateriale	byggesten
byggeri	opførelse;bygning
byggeri	byggebranche
byggesektor	byggebranche
byggesten	bygningssten
byggesten	byggeklods;element
byggeteknisk	bygningsteknisk
bygning	hus;ejendom
bygning	opførelse;byggeri
bygning	kropsbygning;statur
bygningsfejl	konstruktionsfejl
bygningsindustri	byggeindustri
bygningskunst	arkitektur
bygningsmaler	maler
bygningssten	byggesten
bygningsstil	byggestil
bygningsværk	bygværk
bygværk	bygningsværk
bykerne	bymidte
byld	absces
byld	pestbyld
bynke	Artemisia
bynkefugl	Saxicola rubetra
byområde	kvarter;bydel
byrd	herkomst
byrådsmedlem	kommunalpolitiker;byrådspolitiker
byrådspolitiker	byrådsmedlem
bysvale	Delichon urbica
bytte	jagtbytte
bytte	udbytte
bytte	udskifte
bytteøkonomi	naturaløkonomi
byzantinsk	snørklet;intrigant
bæ	lort
bæ	lort;møg
bæbrun	lortebrun;skidenbrun
bæger	calyx
bækarve	Elatine
bækkenbundsøvelse	knibeøvelse
bækørred	bækforel;forel;Salmo trutta fario
bælgmørk	buldermørk;buldrende mørk
bælgmørke	buldermørke;buldrende mørke
bælgplante	Fabales
bælle	tylle
bællevin	frikadellevin;terrassevin;hverdagsvin
bæltedyr	Dasypodidae
bæltested	liv;talje
bændelorm	Cestoda
bændeltang	ålegræs;Zostera marina
bænk	udskiftningsbænk
bænk	mistbænk
bænkebider	Oniscidea
bænkerad	bænkerække
bænkerække	bænkerad
bær	bærfrugt
bær	knop
bærbar	transportabel
bære	udholde
bæreevne	bærekraft
bæreevne	økologisk bæreevne
bærekraft	bæreevne
bæreplan	plan
bæreplansbåd	hydrofoilbåd
bæresele	vikle;slynge
bærfrugt	bær
bærme	udskud
bæver	Castoridae
bæverrotte	Capromyidae
bævreasp	asp;Populus tremula
bøddel	mestermand
bøf	hakkebøf;dansk bøf
bøf	bommert;brøler
bøffe	hugge;negle
bøg	bøgetræ;Fagus sylvatica
bøg	bøgetræ
bøgetræ	bøg;Fagus sylvatica
bøgetræ	bøg
bøghjort	Dorcus parallelopipedus
bøhmand	bussemand
bøhmand	blæser;bimmelim
bøje	bukke
bøjelig	smidig
bøjelig	føjelig
bøjle	tandbøjle
bøjning	krumning
bøjning	fleksion
bøjning	afbøjning
bølge	vove
bølge	bølgebevægelse
bølle	Vaccinium
bøllebank	bank;tæsk;tæv;klø
bøllebank	bank;lammetæv;tæsk
bøllefrø	bøllespire
bønfalde	trygle
bønne	grøn bønne
bønne	kaffe
bør	trillebør
børnebidrag	børnepenge
børnediskotek	sodavandsdiskotek
børnefjernsyn	børne-tv
børnegudstjeneste	familiegudstjeneste
børnehave	børner
børnehaveklasse	0. klasse
børnehaveklasseleder	børnehaveklasselærer
børnehavepædagog	børnehavelærerinde;småbørnspædagog
børnehaveseminarium	pædagogseminarium
børnehjem	børnepension
børnehjørne	legehjørne
børnelammelse	polio
børnelokker	lokker
børnelæge	pædiater
børneområde	legeområde
børneorm	Enterobius vermicularis
børnepenge	børnebidrag
børnepension	børnehjem
børneporno	børnepornografi
børnepornografi	børneporno
børneprogram	børneudsendelse
børnerum	legerum
børneskole	underskole
børne-tv	børnefjernsyn
børneudsendelse	børneprogram
børneværelse	barneværelse
børs	fondsbørs
børs	marked
børsmeddelelse	fondsbørsmeddelelse
børsnotere	notere
børsnotering	notering
børsprospekt	prospekt
børste	børstehår
bøsse	bøssekarl;svans
bøssekarl	svans;bøsserøv
bøssemager	våbenmekaniker
bøssepibe	geværløb;geværpibe
bøsserøv	svans;bagbordsindianer;bøsse
bøv	hvæs
bøvet	kvabset
bøvs	ræb
bøvse	ræbe
bådehavn	lystbådehavn
bådsmand	bådsen
bånd	samhørighed;forbindelse
bånd	båndgesims
bånd	tape
bånd	transportbånd
båndpudser	båndsliber
båndsliber	båndpudser
båndspiller	båndafspiller
båndstation	magnetbåndstation
båre	ligbåre
båt	dyt
båtte	dytte
cache	buffer;cachehukommelse
cachehukommelse	cache;cachememory
caffe latte	latte
calcit	kalkspat
calciumkarbonat	kalk
calciumnitrat	kalksalpeter;norgesalpeter
callgirl	escortpige
caloric	svensk punch
calypso	calypsorød
calypsorød	calypso
calzone	indbagt pizza
camcorder	videocamcorder
camembert	camembertost
cameo	cameorolle
cameorolle	cameo
camouflage	sløring
camouflage	tilsløring;dække
camouflagedragt	camouflageuniform
camouflageuniform	camouflagedragt
camouflere	skjule
camouflere	forklæde;maskere
camper	autocamper
camper	campist
campingbil	autocamper
campingbus	autocamper
campingseng	weekendseng
campingvogn	caravan
campist	camper
canadagås	Branta canadensis
canaiolo	canaiolo nero
cancer	kræft
cancerogen	karcinogen
cancerogen	kræftfremkaldende;karcinogen
cand.act.	aktuar
cand.agro.	agronom
cand.brom.	bromatolog
cand.geom.	landinspektør
cand.hort.	hortonom
cand.jur.	jurist
cand.lact.	mejeriingeniør
cand.mag.	magister
cand.med.	læge
cand.med.vet.	dyrlæge
cand.merc.	civiløkonom
cand.merc.it.	cand.merc.dat.
cand.odont.	tandlæge
cand.oecon.	økonom
cand.pharm.	farmaceut
cand.phil.	magister
cand.polit.	nationaløkonom;økonom
cand.polyt.	civilingeniør
cand.psych.	psykolog
cand.scient.	magister
cand.scient.pol.	politolog
cand.scient.soc.	sociolog
cand.silv.	forstkandidat
cand.theol.	teolog
cannabis	ganja
cannabisplante	Cannabis sativa;cannabis;hampeplante;hamp
cantabile	sangbart
canyon	ravine
caravan	campingvogn
caravan	stationcar
caries	huller i tænderne
carnivor	kødæder
carnivor	kødædende
carte blanche	frie hænder
casanova	don juan
cayenne	cayennepeber
cayennepeber	cayenne
CB'er	CB-betjent;civilbetjent;CB
CB-betjent	civilbetjent;CB'er;CB
c.c.	kopi til
cd-afspiller	cd-spiller;cd
cd-brænder	cd-rom-brænder
cd-drev	cd-rom-drev
cd-plade	cd
cd-rom-brænder	cd-brænder
cd-rom-drev	cd-drev
cd-spiller	cd-afspiller
cedertræ	ceder;Cedrus
cedertræ	ceder
cedrat	sukatcitron
celebration	celebrering
celebrering	celebration
celebritet	berømthed
celest	himmelsk
cellegift	kemoterapeutikum;cytostatikum;kemo
cellekerne	kerne
cellelære	cytologi
cellesaft	cytoplasma;celleslim
celleslim	cytoplasma;cellesaft
cello	violoncel
celluld	rayonuld
cellulosenitrat	nitrocellulose
celsiusgrad	grad celsius
celt	celtøkse
cementblander	betonblander
cendré	askeblond;askefarvet
cent	eurocent
center	centerspiller
centerforsvar	midterforsvar
centerforward	frontløber;spydspids
centerhalfback	centerhalf
centerspiller	center
central	telefoncentral
centraladministration	centralforvaltning
centralamerikansk	mellemamerikansk
centralenhed	CPU
centraleuropæer	mellemeuropæer
centraleuropæisk	mellemeuropæisk
centralkøkken	storkøkken;fælleskøkken
centrallås	centrallåsesystem
centrallåsesystem	centrallås
centralmagt	centralstyre
centralnervesystem	det centrale nervesystem
centralperspektiv	linearperspektiv;linjeperspektiv
centralstyre	centralmagt
centrere	koncentrere
centrifugal	midtpunktflyende
centrifugalpumpe	radialpumpe
centrifugere	slynge
centring	aflevering
centripetal	midtpunktsøgende;centrumsøgende
centrum	bykerne;city;midtby
centrum	symmetripunkt
centrumsøgende	midtsøgende
centrumsøgende	midtpunktsøgende
centrumsøgende	centripetal
cerebrospinalvæske	rygmarvsvæske;spinalvæske
cerise	kirsebærrød
ceriserød	kirsebærrød
ceyloneser	srilankaner
ceylonesisk	srilankansk
cf.	jf.
CFC	freon®
chaconne	passacaglia
chai	chaite
chaite	chai
chalup	slup
champagne	skum;champus
champignon	Agaricus
champion	mester
championat	mesterskab;championship
chancesejlads	chancespil
chancespil	chancesejlads
chancetagning	satsning
changere	veksle
chanteuse	visesangerinde
chapeau claque	klaphat;chapeau claque-hat
charcuteri	viktualieforretning
charcuteri	viktualier
charlatan	bedrager
charlataneri	svindel;bedrageri
charme	charmere
charmeforladt	kedelig;trist
charmere	charme;bedåre
charmerende	indtagende;charmant
charta	charter
charter	charta;manifest
charterferie	charterrejse;chartertur
chartergæst	charterturist
charterrejse	chartertur;charterferie;charter
charterselskab	rejseselskab
chartertur	charterrejse
charterturist	chartergæst
chartreuse	chartreuselikør
chartreuse	chartreusefarvet
chartreusefarvet	chartreuse
chassé	chassétrin
chassétrin	chassé
chat	chatrum;chatsted;chatroom
chatforum	debatforum;chatsted
chatroom	debatforum;chatrum;chat
chatrum	debatforum;chatroom;chat
chatsted	debatforum;chatforum
chaussé	landevej
check	checkblanket
check-in	indtjekning
checkup	tjek-op
cheddar	cheddarost
cheesecake	ostekage
chef	boss
chefgruppe	ledergruppe
chefkok	køkkenchef
chefpost	chefstol
chefstol	chefpost
cherimoya	jamaicaæble
chevaleresk	ridderlig
chicken	chickenrace
chickenrace	chicken
chifferskrift	kodeskrift
chik	fiks;trendy
chikane	chikaneri
chikanere	forulempe
chikaneri	chikane
chili	chilipeber
chilipeber	chili
chillum	hashpibe
chimpanse	Pan troglodytes
chinchilla	Chinchilla
chip	mikrochip
chip	jeton
chipkort	smartcard
chipmærke	chippe
chippe	chipmærke
chips	franske kartofler
chok	psykisk chok
chokere	ryste;chokke
chokke	chokere
chokocreme	chokoladecreme
chokokage	chokoladekage
chokoladebrun	chokoladefarvet
chokoladecreme	chokocreme
chokoladefarvet	chokoladebrun
chokoladekage	chokokage
chokolademousse	chokomousse
chokolademælk	kakaomælk
chokomousse	chokolademousse
chokstarte	kickstarte
chorizo	chorizopølse
chorizopølse	chorizo
chymosin	rennin
ciabatta	ciabattabrød
ciabattabrød	ciabatta
ciao	hej
cicerone	guide;fremmedfører
cigaret	smøg
cigaretstump	cigaretskod
cigarettænder	cigartænder
cigarettænder	lighter
cigartænder	cigarettænder
cikade	sangcikade;Cicadidae
cikade	Auchenorrhyncha
ciklide	Cichlidae
cikorie	Cichorium intybus
ciliat	infusionsdyr;infusorie;Ciliophora
cinematisk	filmisk
cinnober	kviksølvsulfid
cinnoberrød	skarlagenrød
circuittræning	cirkeltræning;circuit
cirka	omtrent;omkring
cirkel	ring
cirkel	kreds
cirkeldiagram	lagkagediagram;lagkage
cirkelformet	ringformet;cirkelrund
cirkelformet	cirkelrund;rund
cirkelrund	cirkelformet
cirkelrund	cirkelformet;kredsrund
cirkelslutning	cirkelræsonnement
cirkeltræning	circuittræning
cirkeludsnit	sektor
cirkle	kredse
cirkulation	omløb
cirkulere	versere
cirkulær	cirkelformet
cirkulære	cirkulæreskrivelse
cirkumfleks	accent circonflexe
cirkus	ballade;postyr
cirkusartist	artist
cirkusmanege	manege
cirrocumulus	makrelsky
cirrostratus	slørsky;cirrostratussky
cirrostratussky	slørsky;cirrostratus
cirrus	cirrussky;fjersky
cirrussky	fjersky;cirrus
ciselere	forsire
citadel	kastel
citation	citering
citering	citation
citrongræs	Cymbopogon citratus
citronhalvmåne	citronmåne
citronlimonade	citronade
citronmelisse	hjertensfryd;Melissa officinalis
citronmåne	citronhalvmåne
citronpresser	citruspresser
citronsommerfugl	Gonepteryx rhamni
citrontimian	Thymus x citriodorus
citrontræ	Citrus limon
citrus	citrusfrugt
citrusfrugt	citrus
citruspresser	citronpresser
city	centrum;midtby
cityområde	city
civilbetjent	CB-betjent;CB'er;CB
civilret	privatret;borgerlig ret
civilstand	ægtestand
clairvoyance	synskhed;klarsyn
clairvoyant	synsk
clash	sammenstød
clashe	tørne sammen;støde sammen
clashe	støde sammen
claves	rytmepinde
click	kliklyd
clinche	gå i clinch med
clinche	støde sammen
clipboard	udklipsholder
clips	øreclips
clipsemaskine	hæftemaskine
clozetest	clozeopgave
clusteranalyse	klyngeanalyse
c/o	(boende) hos
coach	træner
coccidier	Coccida
cochleaimplantat	CI
cocktailryster	cocktailshaker;shaker
cocktailshaker	cocktailryster;shaker
codriver	medkører
cognac	brandy
coke	kokain;cola;sne
cola	kokain;coke;sne
cologne	eau de cologne
coloradobille	kartoffelbille;Leptinotarsa decemlineata
column	klumme
commedia dell'arte	maskespil
compactdisk	cd
compiler	oversætter;kompilator
complet	morgencomplet
compliance	komplians;adhærens
computer	datamat;datamaskine;edb-maskine;elektronhjerne
computerbaseret	edb-baseret
computerfreak	computernørd
computernørd	computerfreak
computerorm	orm
computerprogram	program
computerskærm	edb-skærm
computerspil	videospil
computerspiller	gamer
computerstyret	edb-styret;datastyret
computersystem	edb-system
computervirus	virus
congoleser	zairer
connaisseur	kender
contortafyr	Pinus contorta;klitfyr;contorta
cool	nøgtern
cool	fed;sej
copilot	andenpilot
copywriter	reklametekstforfatter
corioliskraft	Coriolis' kraft
country	country og western;countrymusik
countrydans	country &amp; western dance
countrymusik	country
country og western	country
courgette	squash;zucchini
cover	omslag
covergirl	forsidepige
coverudgave	coverversion
coverversion	coverudgave;kopiversion
cowboy	cowboyder
cowboybukser	jeans;denimbukser
cowboyfilm	western
cowboyhat	stetsonhat
cowboyjakke	denimjakke
cowboystof	denim
cox	styrmand
coyote	prærieulv;Canis latrans
CPU	centralenhed
crack	rygekokain
crashe	forulykke
crazy	gakket
creme	cremefarvet;flødefarvet
cremefarvet	flødefarvet;creme;cremegul
cremegul	cremefarvet
crepe georgette	georgette
crescendo	kulmination;klimaks
croque monsieur	parisertoast
crosse	krydse
crossløb	cross-country
crossover	krydsning;hybrid
crowded	menneskefyldt;overfyldt
cruise	krydstogt
cruisekontrol	fartpilot
cruisekontrol	automatpilot;autopilot
cruiseliner	krydstogtskib;cruiser
