11-meterplet	straffesparksplet
fløse	lømler
fløses	lømlers
flå	ribbe;ribbe;rib;flænse;flænse;flæns;rive
flået	ribbet;flænset
flås	ribbes;flænses
flår	ribber;flænser
flående	ribbende;flænsende
flåede	ribbede;flænsede
flåd	flyder;flød
flåde	søværn;redningsflåde;fløde;fløde;fløde
flåden	fløden
flådens	flødens
flådes	flødes;flødes
flådet	flødet
flåder	fløder
flådende	flødende
flådede	flødede
flådedes	flødedes
flådeofficer	søofficer;søofficer
flådeofficeren	søofficeren
flådeofficerens	søofficerens
flådeofficers	søofficers
flådeofficererne	søofficererne
flådeofficerernes	søofficerernes
flådeofficerer	søofficerer
flådeofficerers	søofficerers
flåt	blodmide;Ixodida
fnadder	snask;snask;fnidder;fnidder
fnadderet	snasket;fnidderet
fnadderets	snaskets;fnidderets
fnadders	snasks;fnidders
fnat	scabies
fnatmide	Sarcoptes scabiei
fnidder	fnidderfnadder;fnadder;fnadder
fnidderet	fnadderet
fnidderets	fnadderets
fnidders	fnadders
fnuglet	fjerlet;fjerlet
fnuglette	fjerlette
fodaftryk	fingeraftryk
fodbehandling	fodpleje
fodboldbølle	hooligan
fodbold-EM	EM i fodbold
fodboldfolk	fodboldfan
fodboldspil	bordfodbold
fodbold-VM	VM i fodbold
fodbremse	navbremse
fodende	benende;benende
fodenden	benenden
fodendens	benendens
fodendes	benendes
fodenderne	benenderne
fodendernes	benendernes
fodender	benender
fodenders	benenders
foderbræt	fuglebræt
foderlucerne	lucerne;alfalfa;Medicago sativa
foderstof	fodermiddel
fodgængerfelt	fodgængerovergang
fodgængerovergang	fodgængerfelt
fodjonglør	antipodist
fodlang	ankellang;ankellang
fodlange	ankellange
fodlangt	ankellangt
fodled	ankelled
fodpanel	gulvpanel;fodliste
fodpleje	fodbehandling;fodterapi;fodterapi
fodplejen	fodterapien
fodplejens	fodterapiens
fodplejes	fodterapis
fodplejer	fodterapeut;fodterapeut
fodplejeren	fodterapeuten
fodplejerens	fodterapeutens
fodplejers	fodterapeuts
fodplejerne	fodterapeuterne
fodplejernes	fodterapeuternes
fodplejere	fodterapeuter
fodplejeres	fodterapeuters
fodpost	snailmail;sneglepost;brevpost
fodrap	rapfodet
fodrodsben	fodrodsknogle
fodrodsknogle	fodrodsben
fodslag	trit;trit;trit
fodslaget	trittet
fodslagets	trittets
fodslags	trits;trits
fodslagene	trittene
fodslagenes	trittenes
fodstykke	sokkel;basis;sokkel
fodterapeut	fodplejer;fodplejer
fodterapeuten	fodplejeren
fodterapeutens	fodplejerens
fodterapeuts	fodplejers
fodterapeuterne	fodplejerne
fodterapeuternes	fodplejernes
fodterapeuter	fodplejere
fodterapeuters	fodplejeres
fodterapi	fodpleje;fodpleje
fodterapien	fodplejen
fodterapiens	fodplejens
fodterapis	fodplejes
fodtrin	trin;skridt;trin;skridt;trin;skridt
fodtrinet	trinet;trinnet;skridtet
fodtrinnet	trinet;trinnet;skridtet
fodtrinets	trinets;trinnets;skridtets
fodtrinnets	trinets;trinnets;skridtets
fodtrins	trins;skridts;trins;skridts
fodtrinene	trinene;trinnene;skridtene
fodtrinnene	trinene;trinnene;skridtene
fodtrinenes	trinenes;trinnenes;skridtenes
fodtrinnenes	trinenes;trinnenes;skridtenes
fodtøj	skotøj;fodbeklædning;skotøj
fodtøjet	skotøjet
fodtøjets	skotøjets
fodtøjs	skotøjs
fog	fygning
foged	kongens foged
fokus	brændpunkt
fokusset	brændpunktet
fokussets	brændpunktets
foliebakke	alubakke
folinsyre	folsyre
folk	folkeslag;nation;folkeslag;folkeslag
folket	folkeslaget
folkets	folkeslagets
folks	folkeslags;folkeslags
folkene	folkeslagene
folkenes	folkeslagenes
folkeafstemning	referendum
folkedrab	folkemord;folkemord;folkemord
folkedrabet	folkemordet
folkedrabets	folkemordets
folkedrabs	folkemords;folkemords
folkedrabene	folkemordene
folkedrabenes	folkemordenes
folkedragt	egnsdragt
folkeflertal	befolkningsflertal
folkeforfører	demagog
folkefærd	folk;folk;folk
folkefærdet	folket
folkefærdets	folkets
folkefærds	folks;folks
folkefærdene	folkene
folkefærdenes	folkenes
folkekarakter	nationalkarakter
folkemord	folkedrab;folkedrab;folkedrab
folkemordet	folkedrabet
folkemordets	folkedrabets
folkemords	folkedrabs;folkedrabs
folkemordene	folkedrabene
folkemordenes	folkedrabenes
folkemusik	folkesang;folkesang
folkemusikken	folkesangen
folkemusikkens	folkesangens
folkemusiks	folkesangs
folkemængde	menneskemængde
folkemål	dialekt
folkepensionist	pensionist;pensionist
folkepensionisten	pensionisten
folkepensionistens	pensionistens
folkepensionists	pensionists
folkepensionisterne	pensionisterne
folkepensionisternes	pensionisternes
folkepensionister	pensionister
folkepensionisters	pensionisters
folkesang	folkemusik;folkemusik
folkesangen	folkemusikken
folkesangens	folkemusikkens
folkesangs	folkemusiks
folkestue	borgestue;borgestue
folkestuen	borgestuen
folkestuens	borgestuens
folkestues	borgestues
folkestuerne	borgestuerne
folkestuernes	borgestuernes
folkestuer	borgestuer
folkestuers	borgestuers
folkestyre	demokrati;demokrati
folkestyret	demokratiet
folkestyrets	demokratiets
folkestyres	demokratis
folkestyrerne	demokratierne
folkestyrernes	demokratiernes
folkestyrer	demokratier
folkestyrers	demokratiers
folketal	befolkningstal
folketing	parlament;parlament;parlamenter
folketinget	parlamentet
folketingets	parlamentets
folketings	parlaments;parlamenters
folketingene	parlamenterne
folketingenes	parlamenternes
folketingspolitiker	folketingsmedlem
folketingssamling	samling;samling
folketingssamlingen	samlingen
folketingssamlingens	samlingens
folketingssamlings	samlings
folketingssamlingerne	samlingerne
folketingssamlingernes	samlingernes
folketingssamlinger	samlinger
folketingssamlingers	samlingers
folkevandring	migration;migration
folkevandringen	migrationen
folkevandringens	migrationens
folkevandrings	migrations
folkevandringerne	migrationerne
folkevandringernes	migrationernes
folkevandringer	migrationer
folkevandringers	migrationers
folkevogn	asfaltboble;gravid rulleskøjte
folkeyndest	popularitet
folklorist	folkemindeforsker;folkemindeforsker
folkloristen	folkemindeforskeren
folkloristens	folkemindeforskerens
folklorists	folkemindeforskers
folkloristerne	folkemindeforskerne
folkloristernes	folkemindeforskernes
folklorister	folkemindeforskere
folkloristers	folkemindeforskeres
folkloristik	folkemindevidenskab;folkemindeforskning;folkemindeforskning
folkloristikken	folkemindeforskningen
folkloristikkens	folkemindeforskningens
folkloristiks	folkemindeforsknings
followup	opfølger;opfølger;opfølgning;opfølgning
followups	opfølgers;opfølgnings
folsyre	folinsyre
fondsaktie	friaktie;friaktie
fondsaktien	friaktien
fondsaktiens	friaktiens
fondsakties	friakties
fondsaktierne	friaktierne
fondsaktiernes	friaktiernes
fondsaktier	friaktier
fondsaktiers	friaktiers
fondsbørsmeddelelse	børsmeddelelse
fonetik	lydlære
fonetisk	lydlig
fonetiske	lydlige
font	døbefont;døbefont;døbefont;skrifttype;skrift;tegnsæt;skrifttype;skrift;skrift;skrifttype;skrift;skrift
fonten	døbefonten;døbefonten;skrifttypen;skriften;skriften;skrifttypen;skriften;skriften
fontens	døbefontens;døbefontens;skrifttypens;skriftens;skriftens;skrifttypens;skriftens;skriftens
fonts	døbefonts;døbefonts;skrifttypes;skrifts;skrifts;skrifttypes;skrifts;skrifts
fontene	døbefontene;døbefonterne;døbefontene;døbefonterne;skrifttyperne;skrifterne;skrifttyperne;skrifterne
fonterne	døbefontene;døbefonterne;skrifttyperne;skrifterne
fontenes	døbefontenes;døbefonternes;døbefontenes;døbefonternes;skrifttypernes;skrifternes;skrifttypernes;skrifternes
fonternes	døbefontenes;døbefonternes;skrifttypernes;skrifternes
fonte	døbefonte;døbefonter;døbefonte;døbefonter;skrifttyper;skrifter;skrifttyper;skrifter
fonter	døbefonte;døbefonter;skrifttyper;skrifter
fonters	døbefonters;døbefontes;skrifttypers;skrifters
fontes	døbefonters;døbefontes;døbefonters;døbefontes;skrifttypers;skrifters;skrifttypers;skrifters
foodprocessor	køkkenmaskine;køkkenmaskine
foodprocessoren	køkkenmaskinen
foodprocessorens	køkkenmaskinens
foodprocessors	køkkenmaskines
foodprocessorerne	køkkenmaskinerne
foodprocessorernes	køkkenmaskinernes
foodprocessorer	køkkenmaskiner
foodprocessorers	køkkenmaskiners
football	amerikansk fodbold
foragt	ringeagt;despekt;ringeagt;despekt;ringeagt
foragten	ringeagten;despekten
foragtens	ringeagtens;despektens
foragts	ringeagts;despekts
foragte	ringeagte;se ned på;ringeagte
foragtet	ringeagtet
foragter	ringeagter
foragtende	ringeagtende
foragtede	ringeagtede
foragtes	ringeagtes
foragtedes	ringeagtedes
foran	før;ovenfor;ovenfor
foranderlig	omskiftelig;ustadig;omskiftelig;ustadig
foranderlige	omskiftelige;ustadige
foranderligt	omskifteligt;ustadigt
forandre	ændre;lave om;ændre
forandr	ændr
forandret	ændret
forandrer	ændrer
forandrende	ændrende
forandrede	ændrede
forandres	ændres
forandredes	ændredes
forandring	ændring;ændring;celleforandring;celleforandring
forandringen	ændringen;celleforandringen
forandringens	ændringens;celleforandringens
forandrings	ændrings;celleforandrings
forandringerne	ændringerne;celleforandringerne
forandringernes	ændringernes;celleforandringernes
forandringer	ændringer;celleforandringer
forandringers	ændringers;celleforandringers
forandringsparat	fleksibel;omstillingsparat
forankre	lægge for anker
foranledige	bevirke;bevirke;iværksætte;iværksætte
foranledig	bevirk;iværksæt
foranlediget	bevirket;iværksat
foranlediger	bevirker;iværksætter
foranledigende	bevirkende;iværksættende
foranledigede	bevirkede;iværksatte
foranlediges	bevirkes;iværksættes
foranledigedes	bevirkedes;iværksattes
foranledning	grund;årsag;grund;årsag
foranledningen	grunden;årsagen
foranledningens	grundens;årsagens
foranlednings	grunds;årsags
foranledningerne	grundene;årsagerne
foranledningernes	grundenes;årsagernes
foranledninger	grunde;årsager
foranledningers	grundes;årsagers
foranstående	ovenstående;ovenstående
forarbejde	bearbejde;bearbejde
forarbejd	bearbejd
forarbejdet	bearbejdet
forarbejder	bearbejder
forarbejdende	bearbejdende
forarbejdede	bearbejdede
forarbejdes	bearbejdes
forarbejdedes	bearbejdedes
forarbejdning	forarbejdelse;forarbejdelse;bearbejdning;bearbejdning
forarbejdningen	forarbejdelsen;bearbejdningen
forarbejdningens	forarbejdelsens;bearbejdningens
forarbejdnings	forarbejdelses;bearbejdnings
forarbejdningerne	forarbejdelserne;bearbejdningerne
forarbejdningernes	forarbejdelsernes;bearbejdningernes
forarbejdninger	forarbejdelser;bearbejdninger
forarbejdningers	forarbejdelsers;bearbejdningers
forarge	støde;falde for brystet;støde
forarg	stød
forarget	stødt;stødt;støde
forarger	støder
forargende	stødende
forargede	stødte
forarges	stødes
forargedes	stødtes
forargelig	anstødelig;skammelig;anstødelig;skammelig
forargelige	anstødelige;skammelige
forargeligt	anstødeligt;skammeligt
forargelse	anstød;harme;harme
forargelsen	harmen
forargelsens	harmens
forargelses	harmes
forbandet	fordømt;skide;fordømt;skide-
forbandede	fordømte
forbasket	forbandet;forbandet
forbaskede	forbandede
forbavse	forbløffe;overraske;forbløffe;overraske
forbavs	forbløf;overrask
forbavset	forbløffet;overrasket
forbavser	forbløffer;overrasker
forbavsende	forbløffende;overraskende
forbavsede	forbløffede;overraskede
forbavses	forbløffes;overraskes
forbavsedes	forbløffedes;overraskedes
forbavselse	forbløffelse;overraskelse;forbløffelse;overraskelse
forbavselsen	forbløffelsen;overraskelsen
forbavselsens	forbløffelsens;overraskelsens
forbavselses	forbløffelses;overraskelses
forbedre	bedre;bedre
forbedr	bedr
forbedret	bedret
forbedrer	bedrer
forbedrende	bedrende
forbedrede	bedrede
forbedres	bedres
forbedredes	bedredes
forbehold	reservation;reserver
forbeholde	reservere;reservere
forbeholdt	reserveret;reserverede
forbeholder	reserverer
forbeholdende	reserverende
forbeholdes	reserveres
forbeholdtes	reserveredes
forbeholden	reserveret;kritisk;reserveret
forbeholdne	kritiske
forbeholdent	reserverede
forbenet	forstokket;forstokket
forbenede	forstokkede
forberede	berede;belave;berede;belave
forbered	bered;belav
forberedt	beredt;belavet
forbereder	bereder;belaver
forberedende	beredende;belavende
forberedte	beredte;belavede
forberedes	beredes;belaves
forberedtes	beredtes;belavedes
forberedelseskursus	voksenuddannelsescenter
forbi	slut;omme
forbigangen	forgangen;svunden;forgangen
forbigangne	forgangne
forbigangent	forgangent
forbigående	midlertidig;kortvarig;midlertidig;midlertidigt;kortvarig;kortvarigt
forbillede	rollemodel;ideal;idol;ideal;idol
forbilledet	idealet;idolet
forbilledets	idealets;idolets
forbilledes	ideals;idols
forbillederne	idealerne;idolerne
forbilledernes	idealernes;idolernes
forbilleder	idealer;idoler
forbilleders	idealers;idolers
forbilledlig	eksemplarisk;mønstergyldig;mønstergyldig
forbilledlige	eksemplariske;mønstergyldige
forbilledligt	mønstergyldigt
forbinde	associere
forbindelse	sammenhæng
forbindelsen	sammenhængen
forbindelsens	sammenhængens
forbindelsesled	bindeled
forbinding	bandage;bandage
forbindingen	bandagen
forbindingens	bandagens
forbindings	bandages
forbindingerne	bandagerne
forbindingernes	bandagernes
forbindinger	bandager
forbindingers	bandagers
forbistret	forbandet;forbandet;pokkers;forbandet;forbandet
forbistrede	forbandede;forbandede
forbitre	spolere;ødelægge;spolere;ødelægge
forbitr	spoler;ødelæg
forbitret	spoleret;ødelagt;bitter;hadefuld;bitter;bittert;hadefuld;hadefuldt;bitter;bitter;bittert
forbitrer	spolerer;ødelægger
forbitrende	spolerende;ødelæggende
forbitrede	spolerede;ødelagde;bitre;hadefulde;bitre
forbitres	spoleres;ødelægges
forbitredes	spoleredes;ødelagdes
forbjerg	kap;kap
forbjergs	kaps
forblinde	forblænde;forblænde;blinde;blinde
forblind	forblænd;blind
forblindet	forblændet;blindet
forblinder	forblænder;blinder
forblindende	forblændende;blindende
forblindede	forblændede;blindede
forblindes	forblændes;blindes
forblindedes	forblændedes;blindedes
forblive	blive;blive
forbliv	bliv
forblevet	blevet
forbliver	bliver
forblivende	blivende
forblev	blev
forblives	blives
forblænde	forblinde;forblinde
forblænd	forblind
forblændet	forblindet
forblænder	forblinder
forblændende	forblindende
forblændede	forblindede
forblændes	forblindes
forblændedes	forblindedes
forblæst	vindblæst;vindblæst
forblæste	vindblæste
forbløffe	forbavse;frappere;forbavse;frappere
forbløf	forbavs;frapper
forbløffet	forbavset;frapperet
forbløffer	forbavser;frapperer
forbløffende	forbavsende;frapperende
forbløffede	forbavsede;frapperede
forbløffes	forbavses;frapperes
forbløffedes	forbavsedes;frapperedes
forbogstav	initial;begyndelsesbogstav;initial
forbogstavet	initialet
forbogstavets	initialets
forbogstavs	initials
forbogstaverne	initialerne
forbogstavernes	initialernes
forbogstaver	initialer
forbogstavers	initialers
forbore	bore for
forbrug	konsum;konsum;konsumer
forbruget	konsumet
forbrugets	konsumets
forbrugs	konsums
forbruge	konsumere;konsumere
forbrugt	konsumeret
forbruger	konsumerer;konsument;konsument
forbrugende	konsumerende
forbrugte	konsumerede
forbruges	konsumeres
forbrugtes	konsumeredes
forbrugeren	konsumenten
forbrugerens	konsumentens
forbrugers	konsuments
forbrugerne	konsumenterne
forbrugernes	konsumenternes
forbrugere	konsumenter
forbrugeres	konsumenters
forbrugerinformation	forbrugeroplysning
forbrugeroplysning	forbrugerinformation
forbrugsafgift	afgift
forbrugsskat	afgift;afgift
forbrugsskatten	afgiften
forbrugsskattens	afgiftens
forbrugsskats	afgifts
forbrugsskatterne	afgifterne
forbrugsskatternes	afgifternes
forbrugsskatter	afgifter
forbrugsskatters	afgifters
forbrugsvare	konsumvare
forbryde	fortabe;fortabe
forbryd	fortab
forbrudt	fortabt
forbryder	fortaber
forbrydende	fortabende
forbrød	fortabte
forbrydes	fortabes
forbrydelse	ulovlighed;lovovertrædelse;ulovlighed;lovovertrædelse
forbrydelsen	ulovligheden;lovovertrædelsen
forbrydelsens	ulovlighedens;lovovertrædelsens
forbrydelses	ulovligheds;lovovertrædelses
forbrydelserne	ulovlighederne;lovovertrædelserne
forbrydelsernes	ulovlighedernes;lovovertrædelsernes
forbrydelser	ulovligheder;lovovertrædelser
forbrydelsers	ulovligheders;lovovertrædelsers
forbryderisk	kriminel;ulovlig;utilladelig
forbryderiske	kriminelle;ulovlige;utilladelige
forbrændingsanlæg	forbrændingsanstalt;forbrænding
forbund	forening;union;føderation
forbundsfælle	allieret
forbundskansler	kansler;kansler
forbundskansleren	kansleren
forbundskanslerens	kanslerens
forbundskanslers	kanslers
forbundskanslerne	kanslerne
forbundskanslernes	kanslernes
forbundskanslere	kanslere
forbundskansleres	kansleres
forbundsland	delstat
forbundsstat	delstat;delstat
forbundsstaten	delstaten
forbundsstatens	delstatens
forbundsstats	delstats
forbundsstaterne	delstaterne
forbundsstaternes	delstaternes
forbundsstater	delstater
forbundsstaters	delstaters
forbytte	forveksle;forveksle
forbyt	forveksl
forbyttet	forvekslet
forbytter	forveksler
forbyttende	forvekslende
forbyttede	forvekslede
forbyttes	forveksles
forbyttedes	forveksledes
force	fortrin;stærk side
forcere	fremskynde;fremskynde
forcer	fremskynd
forceret	fremskyndet;anstrengt;anstrengt
forcerer	fremskynder
forcerende	fremskyndende
forcerede	fremskyndede;anstrengte
forceres	fremskyndes
forceredes	fremskyndedes
fordel	fortrin;plus;uddel
fordelagtig	favorabel;favorabel
fordelagtige	favorable
fordelagtigt	favorabelt
fordele	uddele;uddele
fordelt	uddelt
fordeler	uddeler
fordelende	uddelende
fordelte	uddelte
fordeles	uddeles
fordeltes	uddeltes
fordelingsnet	distributionsnet
fordi	da;eftersom;eftersom;selvom;selvom;for at
fordoble	doble op
fordre	nødvendiggøre;kræve;nødvendiggøre;kræve;kræve;forlange;kræve;forlange
fordr	nødvendiggør;kræv;kræv;forlang
fordret	nødvendiggjort;krævet;krævet;forlangt
fordrer	nødvendiggør;kræver;kræver;forlanger
fordrende	nødvendiggørende;krævende;krævende;forlangende
fordrede	nødvendiggjorde;krævede;krævede;forlangte
fordres	nødvendiggøres;kræves;kræves;forlanges
fordredes	nødvendiggjordes;krævedes;krævedes;forlangtes
fordreje	forvanske;fortegne;dreje;forvanske;fortegne;dreje;forvrænge;forvrænge
fordrej	forvansk;fortegn;drej;forvræng
fordrejet	forvansket;fortegnet;drejet;forvrænget
fordrejer	forvansker;fortegner;drejer;forvrænger
fordrejende	forvanskende;fortegnende;drejende;forvrængende
fordrejede	forvanskede;fortegnede;drejede;forvrængede
fordrejes	forvanskes;fortegnes;drejes;forvrænges
fordrejedes	forvanskedes;fortegnedes;drejedes;forvrængedes
fordring	krav
fordringsfuld	krævende
fordringshaver	kreditor;kreditor
fordringshaveren	kreditoren
fordringshaverens	kreditorens
fordringshavers	kreditors
fordringshaverne	kreditorerne
fordringshavernes	kreditorernes
fordringshavere	kreditorer
fordringshaveres	kreditorers
fordrukken	drikfældig;drikfældig
fordrukne	drikfældige
fordrukkent	drikfældigt
fordufte	stikke af;dampe af
fordunkle	overskygge;overskygge
fordunkl	overskyg
fordunklet	overskygget
fordunkler	overskygger
fordunklende	overskyggende
fordunklede	overskyggede
fordunkles	overskygges
fordunkledes	overskyggedes
fordybning	hulning;hulning;hulning
fordybningen	hulningen;hulningen
fordybningens	hulningens;hulningens
fordybnings	hulnings;hulnings
fordybningerne	hulningerne;hulningerne
fordybningernes	hulningernes;hulningernes
fordybninger	hulninger;hulninger
fordybningers	hulningers;hulningers
fordægtig	fordækt
fordægtige	fordækte
fordækt	fordægtig;suspekt;fordægtig;fordægtigt;suspekt;skjult;tildækket;skjult;tilsløret
fordækte	fordægtige;suspekte
fordærv	fordærvelse
fordærvelse	fordærv
fordøje	slå mave;kapere;kapere
fordøj	kaper
fordøjet	kaperet
fordøjer	kaperer
fordøjende	kaperende
fordøjede	kaperede
fordøjes	kaperes
fordøjedes	kaperedes
fordøjelig	tilgængelig;tilgængelig
fordøjelige	tilgængelige
fordøjeligt	tilgængeligt
fordøjelsesbesvær	dyspepsi
fordømmelig	forkastelig;forkastelig
fordømmelige	forkastelige
fordømmeligt	forkasteligt
fordømt	forbandet;forbandet
fordømte	forbandede
fordør	hoveddør;hoveddør
fordøren	hoveddøren
fordørens	hoveddørens
fordørs	hoveddørs
fordørene	hoveddørene
fordørenes	hoveddørenes
fordøre	hoveddøre
fordøres	hoveddøres
forebyggelse	forebygning
foredrage	recitere;deklamere;recitere;deklamere
foredrag	reciter;deklamer
foredraget	reciteret;deklameret
foredrager	reciterer;deklamerer
foredragende	reciterende;deklamerende
foredrog	reciterede;deklamerede
foredrages	reciteres;deklameres
foredragsrejse	foredragsturné
foredragsturné	foredragsrejse
forefalde	byde sig;falde for;ske;ske
forefald	ske
forefaldet	sket
forefalder	sker
forefaldende	skeende
forefaldt	skete
forefaldes	skes
foregive	hævde;påstå;simulere;fingere;fake
foregivelse	foregivende
foregivende	foregivelse
foregribe	anticipere
foregå	ske;gå for sig;ske;ske;forudgå;forudgå;forudgå
foregået	sket;forudgået
foregås	skes;forudgås
foregår	sker;forudgår
foregående	skeende;forudgå-ende;forudgående
foregik	skete;forudgik
forekomme	virke;synes;foresvæve;findes;hænde;ske
forekomst	optræden;tilstedeværelse;optræden;tilstedeværelse
forekomsten	tilstedeværelsen
forekomstens	tilstedeværelsens
forekomsts	optrædens;tilstedeværelses
forekomsterne	optrædenerne
forekomsternes	optrædenernes
forekomster	optrædener
forekomsters	optrædeners
foreligge	forefindes;forekomme;forefindes
forelægge	fremlægge;fremlægge
forelæg	fremlæg
forelagt	fremlagt
forelægger	fremlægger
forelæggende	fremlæggende
forelagde	fremlagde
forelægges	fremlægges
forelagdes	fremlagdes
foreløbig	midlertidig;provisorisk;midlertidig
foreløbige	midlertidige;provisoriske
foreløbigt	midlertidigt
forene	samle;sammenslutte;samle;sammenslutte;kombinere;kombinere
foren	saml;sammenslut;kombiner
forenet	samlet;sammensluttet;kombineret
forener	samler;sammenslutter;kombinerer
forenende	samlende;sammensluttende;kombinerende
forenede	samlede;sammensluttede;kombinerede
forenes	samles;sammensluttes;kombineres
forenedes	samledes;sammensluttedes;kombineredes
forenelig	kompatibel;kompatibel
forenelige	kompatible
foreneligt	kompatibelt
forening	forbund
forenkle	simplificere;simplificere
forenkl	simplificer
forenklet	simplificeret
forenkler	simplificerer
forenklende	simplificerende
forenklede	simplificerede
forenkles	simplificeres
forenkledes	simplificeredes
forenkling	forsimpling;simplifikation;simplificering;forsimpling;simplifikation;simplificering
forenklingen	forsimplingen;simplifikationen;simplificeringen
forenklingens	forsimplingens;simplifikationens;simplificeringens
forenklings	forsimplings;simplifikations;simplificerings
forenklingerne	forsimplingerne;simplifikationerne;simplificeringerne
forenklingernes	forsimplingernes;simplifikationernes;simplificeringernes
forenklinger	forsimplinger;simplifikationer;simplificeringer
forenklingers	forsimplingers;simplifikationers;simplificeringers
foreskrive	påbyde;ordinere
foreslå	proponere;proponere;proponer
foreslået	proponeret
foreslås	proponeres
foreslår	proponerer
foreslående	proponerende
foreslog	proponerede
forestille	præsentere;introducere;præsentere;introducere
forestil	præsenter;introducer
forestillet	præsenteret;introduceret
forestiller	præsenterer;introducerer
forestillende	præsenterende;introducerende
forestillede	præsenterede;introducerede
forestilles	præsenteres;introduceres
forestilledes	præsenteredes;introduceredes
forestillingskreds	forestillingsverden
forestillingsverden	begrebsverden;tankeverden
forestå	lede;lede;lede;led;led
forestået	ledet;ledt;ledt
forestås	ledes;ledes
forestår	leder;leder
forestående	ledende;ledende
forestod	ledede;ledte;ledte
foresvæve	forekomme
foretage	udføre;gøre
foretagsom	virkelysten;virkelysten
foretagsomme	virkelystne
foretagsomt	virkelystent
foreteelse	fænomen
foretrække	præferere
foreviser	fremviser;fremviser
foreviseren	fremviseren
foreviserens	fremviserens
forevisers	fremvisers
foreviserne	fremviserne
forevisernes	fremvisernes
forevisere	fremvisere
foreviseres	fremviseres
forfader	stamform
forfalske	manipulere;manipulere
forfalsk	manipuler
forfalsket	manipuleret
forfalsker	manipulerer
forfalskende	manipulerende
forfalskede	manipulerede
forfalskes	manipuleres
forfalskedes	manipuleredes
forfalskning	falskneri
forfatning	statsforfatning;konstitution;statsforfatning;konstitution
forfatningen	statsforfatningen;konstitutionen
forfatningens	statsforfatningens;konstitutionens
forfatnings	statsforfatnings;konstitutions
forfatningerne	statsforfatningerne;konstitutionerne
forfatningernes	statsforfatningernes;konstitutionernes
forfatninger	statsforfatninger;konstitutioner
forfatningers	statsforfatningers;konstitutioners
forfatte	skrive
forfatterskab	forfattervirksomhed
forfest	førfest
forfjamskelse	befippelse;befippelse
forfjamskelsen	befippelsen
forfjamskelsens	befippelsens
forfjamskelses	befippelses
forfjamsket	befippet;befippet
forfjamskede	befippede
forflygtige	udviske;udviske
forflygtig	udvisk
forflygtiget	udvisket
forflygtiger	udvisker
forflygtigende	udviskende
forflygtigede	udviskede
forflygtiges	udviskes
forflygtigedes	udviskedes
forfløjen	flyvsk
forfløjne	flyvske
forfløjent	flyvskt
forfordele	snyde;snyde;begunstige;begunstige
forfordel	snyd;begunstig
forfordelt	snydt;begunstiget
forfordeler	snyder;begunstiger
forfordelende	snydende;begunstigende
forfordelte	snød;begunstigede
forfordeles	snydes;begunstiges
forfordeltes	begunstigedes
forfriske	vederkvæge;vederkvæge
forfrisk	vederkvæg
forfrisket	vederkvæget
forfrisker	vederkvæger
forfriskende	vederkvægende
forfriskede	vederkvægede
forfriskes	vederkvæges
forfriskedes	vederkvægedes
forfrossen	valen;valen;kuldskær;kuldskær
forfrosne	valne;kuldskære
forfrossent	valent;kuldskært
forfærdelig	frygtelig;skrækkelig;frygtelig;skrækkelig;skrækkelig;voldsom;skrækkelig;voldsom
forfærdelige	frygtelige;skrækkelige;skrækkelige;voldsomme
forfærdeligt	frygteligt;skrækkeligt;skrækkeligt;voldsomt
forfølge	jagte;jagte;plage;plage
forfølg	jagt;plag
forfulgt	jagtet;plaget
forfølger	jagter;plager
forfølgende	jagtende;plagende
forfulgte	jagtede;plagede
forfølges	jagtes;plages
forfulgtes	jagtedes;plagedes
forføre	forlede;lokke;forlede;lokke
forfør	forled;lok
forført	forledt;lokket
forfører	forleder;lokker;don juan;don juan
forførende	forledende;lokkende
forførte	forledte;lokkede
forføres	forledes;lokkes
forførtes	forledtes;lokkedes
forføreren	don juanen
forførerens	don juanens
forførers	don juans
forførerne	don juanerne
forførernes	don juanernes
forførere	don juaner
forføreres	don juaners
forførerisk	forførende
forgangen	fordums;forbigangen;forbigangen
forgangne	forbigangne
forgangent	forbigangent
forglemme	glemme;glemme
forglem	glem
forglemt	glemt
forglemmer	glemmer
forglemmende	glemmende
forglemte	glemte
forglemmes	glemmes
forglemtes	glemtes
forglemmelse	glemsel;glemsel
forglemmelsen	glemslen
forglemmelsens	glemslens
forglemmelses	glemsels
forglemmigej	Myosotis
forgrove	forenkle;forenkle
forgrov	forenkl
forgrovet	forenklet
forgrover	forenkler
forgrovende	forenklende
forgrovede	forenklede
forgroves	forenkles
forgrovedes	forenkledes
forgude	idolisere;idolisere
forgud	idoliser
forgudet	idoliseret
forguder	idoliserer
forgudende	idoliserende
forgudede	idoliserede
forgudes	idoliseres
forgudedes	idoliseredes
forgudelse	idolisering;idolisering
forgudelsen	idoliseringen
forgudelsens	idoliseringens
forgudelses	idoliserings
forgudelserne	idoliseringerne
forgudelsernes	idoliseringernes
forgudelser	idoliseringer
forgudelsers	idoliseringers
forgylde	kaste glans over;hædre;hædre
forgyld	hædr
forgyldt	hædret
forgylder	hædrer
forgyldende	hædrende
forgyldte	hædrede
forgyldes	hædres
forgyldtes	hædredes
forgællesnegl	Prosobranchia;prosobrancher
forgængelig	flygtig;forbigående;flygtig
forgængelige	flygtige
forgængeligt	flygtigt
forgængelighed	flygtighed
forgæves	nytteløst;omsonst;omsonst;nytteløs;omsonst;nytteløs;nytteløst;omsonst
