11-meterplet	straffesparksplet
adjektivers	tillægsords
adjø	farvel;farvel
adkomst	ret;ret;ret
adkomsten	retten;retten
adkomstens	rettens;rettens
adkomsts	rets;rets
adkomsterne	retterne
adkomsternes	retternes
adkomster	retter
adkomsters	retters
adle	forædle;forædle
adl	forædl
adlet	forædlet
adler	forædler
adlende	forædlende
adlede	forædlede
adles	forædles
adledes	forædledes
adlyde	følge;følge
adlyd	følg
adlydt	fulgt
adlyder	følger
adlydende	følgende
adlød	fulgte
adlydes	følges
administration	forvaltning;forvaltning
administrationen	forvaltningen
administrationens	forvaltningens
administrations	forvaltnings
administrationerne	forvaltningerne
administrationernes	forvaltningernes
administrationer	forvaltninger
administrationers	forvaltningers
administrere	forvalte;bestyre;forvalte;bestyre
administrer	forvalt;bestyr
administreret	forvaltet;bestyret
administrerer	forvalter;bestyrer
administrerende	forvaltende;bestyrende
administrerede	forvaltede;bestyrede
administreres	forvaltes;bestyres
administreredes	forvaltedes;bestyredes
admiral	Vanessa atalanta
adoptant	adoptivforælder
adressat	modtager;modtager
adressaten	modtageren
adressatens	modtagerens
adressats	modtagers
adressaterne	modtagerne
adressaternes	modtagernes
adressater	modtagere
adressaters	modtageres
adresse	bopæl;bopæl
adressen	bopælen
adressens	bopælens
adresses	bopæls
adresserne	bopælene
adressernes	bopælenes
adresser	bopæle
adressers	bopæles
adresseforandring	adresseændring
adresseændring	adresseforandring;bopælsforandring
adræt	behændig;spændstig;behændig;behændigt;spændstig;spændstigt
adrætte	behændige;spændstige
adskille	skille (ad);skille;skille;skelne mellem;skille (ud) fra
adskil	skil
adskilt	skilt
adskiller	skiller
adskillende	skillende
adskilte	skilte
adskilles	skilles
adskiltes	skiltes
adskillelse	opdeling;opdeling;adskilthed
adskillelsen	opdelingen
adskillelsens	opdelingens
adskillelses	opdelings
adskillelserne	opdelingerne
adskillelsernes	opdelingernes
adskillelser	opdelinger
adskillelsers	opdelingers
adskillig	flere;temmelig mange;en (hel) del;temmelig meget;en (hel) del
adskillige	flere
adskilthed	adskillelse
adspredt	åndsfraværende
adspredthed	distræthed
adstadig	sindig;sindig;sat
adstadige	sindige;satte
adstadigt	sindigt
advare	fraråde;fraråde
advar	fraråd
advaret	frarådet
advarer	fraråder
advarende	frarådende
advarede	frarådede
advares	frarådes
advaredes	frarådedes
advarselsskilt	advarselstavle
advarselstavle	advarselsskilt
adverbial	adverbialled;biled;biled
adverbialet	bileddet
adverbialets	bileddets
adverbials	bileds
adverbialerne	bileddene
adverbialernes	bileddenes
adverbialer	biled
adverbialers	bileds
adverbialled	adverbial;biled
adverbium	biord;biord
adverbiet	biordet
adverbiets	biordets
adverbiums	biords
adverbierne	biordene
adverbiernes	biordenes
adverbier	biord
adverbiers	biords
advokat	sagfører;sagfører
advokaten	sagføreren
advokatens	sagførerens
advokats	sagførers
advokaterne	sagførerne
advokaternes	sagførernes
advokater	sagførere
advokaters	sagføreres
advokatbeskikkelse	advokatbestalling
advokatfirma	advokatkontor;advokatvirksomhed
advokatforretning	advokatfirma
advokatkontor	advokatfirma
advokatvirksomhed	advokatfirma
adækvat	dækkende;passende
aerob	aerobisk
aerobisk	aerob
aerodrom	flyveplads
aerodynamisk	strømlinet
aerofobi	flyskræk
aerogram	luftpostbrev
aeronaut	luftskipper
aeroplan	fly
aerosoldåse	spraydåse
afbage	bage op
afbagning	opbagning;opbagning
afbagningen	opbagningen
afbagningens	opbagningens
afbagnings	opbagnings
afbagningerne	opbagningerne
afbagningernes	opbagningernes
afbagninger	opbagninger
afbagningers	opbagningers
afbankning	afklapsning
afbetale	betale af
afbildning	funktion;funktion
afbildningen	funktionen
afbildningens	funktionens
afbildnings	funktions
afbildningerne	funktionerne
afbildningernes	funktionernes
afbildninger	funktioner
afbildningers	funktioners
afblegning	blegning;blegning
afblegningen	blegningen
afblegningens	blegningens
afblegnings	blegnings
afblegningerne	blegningerne
afblegningernes	blegningernes
afblegninger	blegninger
afblegningers	blegningers
afblæse	blæse af
afbryde	stoppe;standse;stoppe;standse;slukke (for)
afbryd	stop;stands
afbrudt	stoppet;standset
afbryder	stopper;standser
afbrydende	stoppende;standsende
afbrød	stoppede;standsede
afbrydes	stoppes;standses
afbrydelse	standsning;ophold;standsning
afbrydelsen	standsningen
afbrydelsens	standsningens
afbrydelses	standsnings
afbrydelserne	standsningerne
afbrydelsernes	standsningernes
afbrydelser	standsninger
afbrydelsers	standsningers
afbrænde	brænde af
afbøde	mildne;mildne
afbød	mildn
afbødet	mildnet
afbøder	mildner
afbødende	mildnende
afbødede	mildnede
afbødes	mildnes
afbødedes	mildnedes
afdrag	afbetaling
afdrage	betale af
afdryppe	dryppe af
afdække	blotlægge;blotlægge;klarlægge;klarlægge;dække af
afdæk	blotlæg;klarlæg
afdækket	blotlagt;klarlagt
afdækker	blotlægger;klarlægger
afdækkende	blotlæggende;klarlæggende
afdækkede	blotlagde;klarlagde
afdækkes	blotlægges;klarlægges
afdækkedes	blotlagdes;klarlagdes
afdæmpe	dæmpe;dæmpe
afdæmp	dæmp
afdæmpet	dæmpet
afdæmper	dæmper
afdæmpende	dæmpende
afdæmpede	dæmpede
afdæmpes	dæmpes
afdæmpedes	dæmpedes
affald	skrald;skrald;skrald
affaldet	skraldet;skraldet
affaldets	skraldets;skraldets
affalds	skralds;skralds
affaldsbehandling	affaldshåndtering
affaldsbeholder	affaldscontainer
affaldsbortskaffelse	affaldsdeponering;renovation
affaldsdeponering	affaldsdeponi;affaldsdepot
affaldsdepot	affaldsdeponering;affaldsdeponi
affaldsforbrænding	affaldsforbrændingsanlæg
affaldsforbrændingsanlæg	affaldsforbrænding
affaldsgebyr	erhvervsaffaldsgebyr
affaldshåndtering	affaldsbehandling
affaldspose	skraldepose
affaldsprodukt	spildprodukt
affaldsskakt	nedfaldsskakt;nedfaldsskakt
affaldsskakten	nedfaldsskakten
affaldsskaktens	nedfaldsskaktens
affaldsskakts	nedfaldsskakts
affaldsskaktene	nedfaldsskaktene;nedfaldsskakterne
affaldsskakterne	nedfaldsskaktene;nedfaldsskakterne
affaldsskaktenes	nedfaldsskaktenes;nedfaldsskakternes
affaldsskakternes	nedfaldsskaktenes;nedfaldsskakternes
affaldsskakte	nedfaldsskakte;nedfaldsskakter
affaldsskakter	nedfaldsskakte;nedfaldsskakter
affaldsskakters	nedfaldsskakters;nedfaldsskaktes
affaldsskaktes	nedfaldsskakters;nedfaldsskaktes
affase	fase af
affatte	formulere;skrive;formulere
affat	formuler
affattet	formuleret
affatter	formulerer
affattende	formulerende
affattede	formulerede
affattes	formuleres
affattedes	formuleredes
affeje	feje af
affektation	krukkeri
affekteret	krukket;skabagtig;krukket;skabagtig;skabagtigt
affekterede	krukkede;skabagtige
affinitet	tilknytning;tilknytning
affiniteten	tilknytningen
affinitetens	tilknytningens
affinitets	tilknytnings
affiniteterne	tilknytningerne
affiniteternes	tilknytningernes
affiniteter	tilknytninger
affiniteters	tilknytningers
affodre	fodre af
affyre	fyre af
affyringsrampe	afskydningsrampe
affældighed	alderdomssvækkelse
afføre	klæde af;klæde;klæde
affør	klæd
afført	klædt
affører	klæder
afførende	klædende
afførte	klædte
afføres	klædes
afførtes	klædtes
afføring	lort;fæces;lort;fæces
afføringen	lorten
afføringens	lortens
afførings	lorts;fæces'
afføringsmiddel	laksativ
afgang	afrejse;afrejse;fratræden;fratræden
afgangen	afrejsen
afgangens	afrejsens
afgangs	afrejses;fratrædens
afgangene	afrejserne
afgangenes	afrejsernes
afgange	afrejser
afganges	afrejsers
afgangsbevis	eksamensbevis
afghaner	afghansk mynde
afgift	forbrugsafgift;forbrugsskat;forbrugsskat;gebyr
afgiften	forbrugsskatten
afgiftens	forbrugsskattens
afgifts	forbrugsskats
afgifterne	forbrugsskatterne
afgifternes	forbrugsskatternes
afgifter	forbrugsskatter
afgifters	forbrugsskatters
afgive	afstå;udsende
afgivelse	afståelse;afståelse
afgivelsen	afståelsen
afgivelsens	afståelsens
afgivelses	afståelses
afgivelserne	afståelserne
afgivelsernes	afståelsernes
afgivelser	afståelser
afgivelsers	afståelsers
afgjort	bestemt;bestemt;besluttet
afgjorte	bestemte
afgnave	gnave af
afgnide	gnide af
afgrund	kløft;kløft
afgrunden	kløften
afgrundens	kløftens
afgrunds	kløfts
afgrundene	kløfterne
afgrundenes	kløfternes
afgrunde	kløfter
afgrundes	kløfters
afgrøde	høst;høstudbytte;høst
afgrøden	høsten
afgrødens	høstens
afgrødes	høsts
afgrøderne	høsterne
afgrødernes	høsternes
afgrøder	høster
afgrøders	høsters
afguderi	afgudsdyrkelse
afgøre	beslutte;træffe afgørelse;beslutte
afgør	beslut;beslutter
afgørende	besluttende
afgjorde	besluttede
afgøres	besluttes
afgjordes	besluttedes
afgå	gå af;fratræde;fratræde;fratræd
afgået	fratrådt
afgår	fratræder
afgående	fratrædende
afgik	fratrådte
afhaspe	haspe af
afhente	hente;hente
afhent	hent
afhentet	hentet
afhenter	henter
afhentende	hentende
afhentede	hentede
afhentes	hentes
afhentedes	hentedes
afholde	holde;holde
afhold	hold
afholdt	holdt;holdt;vellidt;populær;vellidt;populær;populært
afholder	holder
afholdende	holdende
afholdes	holdes
afholdtes	holdtes
afholdsfolk	afholdsmænd
afholdte	vellidte;populære
afhugge	hugge af
afhøste	høste af
afhøvle	høvle af
aficionado	entusiast;entusiast
aficionadoen	entusiasten
aficionadoens	entusiastens
aficionados	entusiasts
aficionadoerne	entusiasterne
aficionadoernes	entusiasternes
aficionadoer	entusiaster
aficionadoers	entusiasters
afinstallation	afinstallering;afinstallering
afinstallationen	afinstalleringen
afinstallationens	afinstalleringens
afinstallations	afinstallerings
afinstallationerne	afinstalleringerne
afinstallationernes	afinstalleringernes
afinstallationer	afinstalleringer
afinstallationers	afinstalleringers
afinstallering	afinstallation;afinstallation
afinstalleringen	afinstallationen
afinstalleringens	afinstallationens
afinstallerings	afinstallations
afinstalleringerne	afinstallationerne
afinstalleringernes	afinstallationernes
afinstalleringer	afinstallationer
afinstalleringers	afinstallationers
afjog	afjogning
afjogning	afjog
afkast	afkastning;provenu;udbytte;afkastning;provenu;udbytte;provenuer;udbytter
afkastet	provenuet;udbyttet
afkastets	provenuets;udbyttets
afkasts	provenus;udbyttes;provenuers;udbytters
afkastene	provenuerne;udbytterne
afkastenes	provenuernes;udbytternes
afkaste	kaste af sig
afklare	klarlægge;klare af;klarlægge
afklar	klarlæg
afklaret	klarlagt
afklarer	klarlægger
afklarende	klarlæggende
afklarede	klarlagde
afklares	klarlægges
afklaredes	klarlagdes
afklaring	klarlægning;klarlægning
afklaringen	klarlægningen
afklaringens	klarlægningens
afklarings	klarlægnings
afklippe	klippe af
afklæde	klæde af
afkode	dechifrere;dechifrere
afkod	dechifrer
afkodet	dechifreret
afkoder	dechifrerer
afkodende	dechifrerende
afkodede	dechifrerede
afkodes	dechifreres
afkodedes	dechifreredes
afkodning	dechifrering;dechifrering
afkodningen	dechifreringen
afkodningens	dechifreringens
afkodnings	dechifrerings
afkodningerne	dechifreringerne
afkodningernes	dechifreringernes
afkodninger	dechifreringer
afkodningers	dechifreringers
afkorte	forkorte;forkorte;forkorte;nedsætte;forkorte;nedsætte
afkort	forkort;forkort;nedsæt
afkortet	forkortet;forkortet;nedsat
afkorter	forkorter;forkorter;nedsætter
afkortende	forkortende;forkortende;nedsættende
afkortede	forkortede;forkortede;nedsatte
afkortes	forkortes;forkortes;nedsættes
afkortedes	forkortedes;forkortedes;nedsattes
afkriminalisere	legalisere;legalisere
afkriminaliser	legaliser
afkriminaliseret	legaliseret
afkriminaliserer	legaliserer
afkriminaliserende	legaliserende
afkriminaliserede	legaliserede
afkriminaliseres	legaliseres
afkriminaliseredes	legaliseredes
afkriminalisering	legalisering;lovligggørelse;legalisering
afkriminaliseringen	legaliseringen
afkriminaliseringens	legaliseringens
afkriminaliserings	legaliserings
afkriminaliseringerne	legaliseringerne
afkriminaliseringernes	legaliseringernes
afkriminaliseringer	legaliseringer
afkriminaliseringers	legaliseringers
afkrydse	krydse af
afkræfte	dementere;dementere
afkræft	dementer
afkræftet	dementeret
afkræfter	dementerer
afkræftende	dementerende
afkræftede	dementerede
afkræftes	dementeres
afkræftedes	dementeredes
afkøle	køle af
afladning	afskibning;ladning;lastning;afskibning;ladning;lastning
afladningen	afskibningen;ladningen;lastningen
afladningens	afskibningens;ladningens;lastningens
afladnings	afskibnings;ladnings;lastnings
afladningerne	afskibningerne;ladningerne;lastningerne
afladningernes	afskibningernes;ladningernes;lastningernes
afladninger	afskibninger;ladninger;lastninger
afladningers	afskibningers;ladningers;lastningers
aflaste	lette;lette
aflast	let
aflastet	lettet
aflaster	letter
aflastende	lettende
aflastede	lettede
aflastes	lettes
aflastedes	lettedes
aflede	derivere;derivere;bortlede;bortlede
afled	deriver;bortled
afledet	deriveret;bortledt
afledt	deriveret;bortledt
afleder	deriverer;bortleder
afledende	deriverende;bortledende
afledte	deriverede;bortledte
afledes	deriveres;bortledes
afledtes	deriveredes;bortledtes
afledning	derivation;derivation
afledningen	derivationen
afledningens	derivationens
aflednings	derivations
afledningerne	derivationerne
afledningernes	derivationernes
afledninger	derivationer
afledningers	derivationers
afledningsendelse	suffiks
aflire	lire af
aflure	lure af
aflægge	lægge af
aflæggelse	aflægning;aflægning
aflæggelsen	aflægningen
aflæggelsens	aflægningens
aflæggelses	aflægnings
aflæggelserne	aflægningerne
aflæggelsernes	aflægningernes
aflæggelser	aflægninger
aflæggelsers	aflægningers
aflægger	udløber;udløber
aflæggeren	udløberen
aflæggerens	udløberens
aflæggers	udløbers
aflæggerne	udløberne
aflæggernes	udløbernes
aflæggere	udløbere
aflæggeres	udløberes
aflægning	aflæggelse;aflæggelse
aflægningen	aflæggelsen
aflægningens	aflæggelsens
aflægnings	aflæggelses
aflægningerne	aflæggelserne
aflægningernes	aflæggelsernes
aflægninger	aflæggelser
aflægningers	aflæggelsers
aflægs	udslidt;nedslidt;udslidt;nedslidt
aflæse	tyde;afkode;tyde;afkode;læse af
aflæs	tyd;afkod
aflæst	tydet;afkodet
aflæser	tyder;afkoder
aflæsende	tydende;afkodende
aflæste	tydede;afkodede
aflæses	tydes;afkodes
aflæstes	tydedes;afkodedes
aflæsse	læsse af
afløfte	løfte af
aflønne	lønne;lønne
afløn	løn
aflønnet	lønnet
aflønner	lønner
aflønnende	lønnende
aflønnede	lønnede
aflønnes	lønnes
aflønnedes	lønnedes
aflønning	lønning;lønning
aflønningen	lønningen
aflønningens	lønningens
aflønnings	lønnings
aflønningerne	lønningerne
aflønningernes	lønningernes
aflønninger	lønninger
aflønningers	lønningers
afløse	efterfølge;erstatte;efterfølge;erstatte;erstatte;erstatte
afløs	efterfølg;erstat;erstat
afløst	efterfulgt;erstattet;erstattet
afløser	efterfølger;erstatter;erstatter;vikar;vikar
afløsende	efterfølgende;erstattende;erstattende
afløste	efterfulgte;erstattede;erstattede
afløses	efterfølges;erstattes;erstattes
afløstes	efterfulgtes;erstattedes;erstattedes
afløseren	vikaren
afløserens	vikarens
afløsers	vikars
afløserne	vikarerne
afløsernes	vikarernes
afløsere	vikarer
afløseres	vikarers
afløsning	erstatning;erstatning
afløsningen	erstatningen
afløsningens	erstatningens
afløsnings	erstatnings
afløsningerne	erstatningerne
afløsningernes	erstatningernes
afløsninger	erstatninger
afløsningers	erstatningers
aflåse	låse af
afmagringspille	slankepille
afmagt	magtesløshed;afmægtighed;besvimelse;besvimelse
afmagten	besvimelsen
afmagtens	besvimelsens
afmagts	besvimelses
afmatning	svækkelse;nedgang;svækkelse;nedgang
afmatningen	svækkelsen;nedgangen
afmatningens	svækkelsens;nedgangens
afmatnings	svækkelses;nedgangs
afmatningerne	svækkelserne;nedgangene
afmatningernes	svækkelsernes;nedgangenes
afmatninger	svækkelser;nedgange
afmatningers	svækkelsers;nedganges
afmelde	framelde;framelde
afmeld	frameld
afmeldt	frameldt
afmelder	framelder
afmeldende	frameldende
afmeldte	frameldte
afmeldes	frameldes
afmeldtes	frameldtes
afmelding	framelding;framelding
afmeldingen	frameldingen
afmeldingens	frameldingens
afmeldings	frameldings
afmeldingerne	frameldingerne
afmeldingernes	frameldingernes
afmeldinger	frameldinger
afmeldingers	frameldingers
afmilitarisere	demilitarisere;demilitarisere
afmilitariser	demilitariser
afmilitariseret	demilitariseret
afmilitariserer	demilitariserer
afmilitariserende	demilitariserende
afmilitariserede	demilitariserede
afmilitariseres	demilitariseres
afmilitariseredes	demilitariseredes
afmilitarisering	demilitarisering;demilitarisering
afmilitariseringen	demilitariseringen
afmilitariseringens	demilitariseringens
afmilitariserings	demilitariserings
afmilitariseringerne	demilitariseringerne
afmilitariseringernes	demilitariseringernes
afmilitariseringer	demilitariseringer
afmilitariseringers	demilitariseringers
afmægtig	magtesløs;magtesløs
afmægtige	magtesløse
afmægtigt	magtesløst
afmægtighed	afmagt
afmærke	markere;mærke af;markere
afmærk	marker
afmærket	markeret
afmærker	markerer
afmærkende	markerende
afmærkede	markerede
afmærkes	markeres
afmærkedes	markeredes
afmønstre	mønstre af
afmåle	måle af
afpasse	tilpasse;justere;tilpasse;justere
afpas	tilpas;juster
afpasset	tilpasset;justeret
afpasser	tilpasser;justerer
afpassende	tilpassende;justerende
afpassede	tilpassede;justerede
afpasses	tilpasses;justeres
afpassedes	tilpassedes;justeredes
afpersonalisere	depersonalisere;depersonalisere
afpersonaliser	depersonaliser
afpersonaliseret	depersonaliseret
afpersonaliserer	depersonaliserer
afpersonaliserende	depersonaliserende
afpersonaliserede	depersonaliserede
afpersonaliseres	depersonaliseres
afpersonaliseredes	depersonaliseredes
afpille	pille af
afprøve	teste;prøve af;teste
afprøv	test
afprøvet	testet
afprøver	tester
afprøvende	testende
afprøvede	testede
afprøves	testes
afprøvedes	testedes
afprøvning	testning;testning
afprøvningen	testningen
afprøvningens	testningens
afprøvnings	testnings
afprøvningerne	testningerne
afprøvningernes	testningernes
afprøvninger	testninger
afprøvningers	testningers
afpudsning	finpudsning;finpudsning
afpudsningen	finpudsningen
afpudsningens	finpudsningens
afpudsnings	finpudsnings
afpudsningerne	finpudsningerne
afpudsningernes	finpudsningernes
afpudsninger	finpudsninger
afpudsningers	finpudsningers
afrakket	hærget;medtaget;medtaget
afrakkede	medtagede;medtagne
afreagere	få afløb
afregne	regne af
afrejsedato	afrejsedag
afrense	rense af
afrette	rette af
afrime	rime af
afrive	rive af
afrodisiakum	elskovsmiddel
afrofrisure	afrohår
afrohår	afrofrisure
afrunde	runde af;runde;runde af;runde
afrund	rund
afrundet	rundet
afrunder	runder
afrundende	rundende
afrundede	rundede
afrundes	rundes
afrundedes	rundedes
afrunding	runding;runding
afrundingen	rundingen
afrundingens	rundingens
afrundings	rundings
afrundingerne	rundingerne
afrundingernes	rundingernes
afrundinger	rundinger
afrundingers	rundingers
afruste	afmilitarisere;afmilitarisere
afrust	afmilitariser
afrustet	afmilitariseret
afruster	afmilitariserer
afrustende	afmilitariserende
afrustede	afmilitariserede
afrustes	afmilitariseres
afrustedes	afmilitariseredes
afrustning	afmilitarisering;afmilitarisering
afrustningen	afmilitariseringen
afrustningens	afmilitariseringens
afrustnings	afmilitariserings
afrustningerne	afmilitariseringerne
afrustningernes	afmilitariseringernes
afrustninger	afmilitariseringer
afrustningers	afmilitariseringers
afsats	trappeafsats;trappeafsats
afsatsen	trappeafsatsen
afsatsens	trappeafsatsens
afsats'	trappeafsats'
afsatserne	trappeafsatserne
afsatsernes	trappeafsatsernes
afsatser	trappeafsatser
afsatsers	trappeafsatsers
afsave	save af
